y (m), ux (m/s)
0.000000000000000000e+00,-6.629015408970620803e-18
1.666666666666666774e-03,6.482583898019841917e-02
3.333333333333333547e-03,1.275453094828448708e-01
5.000000000000000104e-03,1.881584115079392716e-01
6.666666666666667095e-03,2.466651450554817604e-01
8.333333333333333218e-03,3.030655101254721151e-01
1.000000000000000021e-02,3.574482263878172028e-01
1.166666666666666720e-02,4.099079086073263989e-01
1.333333333333333419e-02,4.604445567839997033e-01
1.500000000000000118e-02,5.090581709178372272e-01
1.666666666666666644e-02,5.557487510088385818e-01
1.833333333333333343e-02,6.006045723700838002e-01
2.000000000000000042e-02,6.437206305939435769e-01
2.166666666666666741e-02,6.850969256804180230e-01
2.333333333333333440e-02,7.247334576295070274e-01
2.500000000000000139e-02,7.626302264412105902e-01
2.666666666666666838e-02,7.988751343201174748e-01
2.833333333333333537e-02,8.335635624746492445e-01
3.000000000000000236e-02,8.666955109048060102e-01
3.166666666666666935e-02,8.982709796105876610e-01
3.333333333333333287e-02,9.282899685919939747e-01
3.500000000000000333e-02,9.568399166832957103e-01
3.666666666666666685e-02,9.840166892975720225e-01
3.833333333333333731e-02,1.009820286434823355e+00
4.000000000000000083e-02,1.034250708095049154e+00
4.166666666666667129e-02,1.057307954278249529e+00
4.333333333333333481e-02,1.079078867512067941e+00
4.500000000000000527e-02,1.099659941700529719e+00
4.666666666666666879e-02,1.119051176843634643e+00
4.833333333333333925e-02,1.137252572941382711e+00
5.000000000000000278e-02,1.154264129993774146e+00
5.166666666666667324e-02,1.170171893057289747e+00
5.333333333333333676e-02,1.185073205148873043e+00
5.500000000000000028e-02,1.198968066268523369e+00
5.666666666666667074e-02,1.211856476416241168e+00
5.833333333333333426e-02,1.223738435592025775e+00
6.000000000000000472e-02,1.234698864721338829e+00
6.166666666666666824e-02,1.244836319761054799e+00
6.333333333333333870e-02,1.254150800711174796e+00
6.500000000000000222e-02,1.262642307571697708e+00
6.666666666666666574e-02,1.270310840342624203e+00
6.833333333333334314e-02,1.277239607118002995e+00
7.000000000000000666e-02,1.283529048750092105e+00
7.166666666666667018e-02,1.289179165238892422e+00
7.333333333333333370e-02,1.294189956584402834e+00
7.500000000000001110e-02,1.298561422786624453e+00
7.666666666666667462e-02,1.302373793678734293e+00
7.833333333333333814e-02,1.305730906370752731e+00
