y, ux
0.000000000000000000e+00,-7.584673465062016891e-18
2.000000000000000042e-03,7.410745697940512855e-02
4.000000000000000083e-03,1.457789668208193112e-01
6.000000000000000125e-03,2.150145295242426313e-01
8.000000000000000167e-03,2.818141450896750611e-01
1.000000000000000021e-02,3.461778135171167392e-01
1.200000000000000025e-02,4.082025667891284737e-01
1.400000000000000029e-02,4.679891777718069301e-01
1.600000000000000033e-02,5.255376464651519974e-01
1.800000000000000211e-02,5.808479728691636756e-01
2.000000000000000042e-02,6.339201569838417427e-01
2.199999999999999872e-02,6.848603370993560091e-01
2.400000000000000050e-02,7.337767762275152483e-01
2.600000000000000228e-02,7.806694743683192383e-01
2.800000000000000058e-02,8.255384315217679791e-01
2.999999999999999889e-02,8.683836476878610267e-01
3.200000000000000067e-02,9.093207344727871622e-01
3.400000000000000244e-02,9.484605526790871322e-01
3.600000000000000422e-02,9.858031023067613807e-01
3.799999999999999906e-02,1.021348383355809908e+00
4.000000000000000083e-02,1.055096395826232492e+00
4.200000000000000261e-02,1.087165891050775102e+00
4.399999999999999745e-02,1.117661151171621681e+00
4.599999999999999922e-02,1.146582176188772451e+00
4.800000000000000100e-02,1.173928966102227189e+00
5.000000000000000278e-02,1.199701520911986119e+00
5.200000000000000455e-02,1.224011234543112892e+00
5.399999999999999939e-02,1.246946007732709694e+00
5.600000000000000117e-02,1.268505840480776969e+00
5.800000000000000294e-02,1.288690732787314053e+00
5.999999999999999778e-02,1.307500684652321166e+00
6.199999999999999956e-02,1.325029209954702303e+00
6.400000000000000133e-02,1.341341292721135892e+00
6.600000000000000311e-02,1.356436932951621266e+00
6.800000000000000488e-02,1.370316130646159092e+00
7.000000000000000666e-02,1.382978885804748703e+00
7.200000000000000844e-02,1.394494301437199546e+00
7.399999999999999634e-02,1.404903392905055393e+00
7.599999999999999811e-02,1.414206160208315799e+00
7.799999999999999989e-02,1.422402603346981209e+00
8.000000000000000167e-02,1.429492722321051179e+00
8.200000000000000344e-02,1.435520592812997265e+00
8.400000000000000522e-02,1.440507207478628926e+00
8.600000000000000699e-02,1.444452566317946385e+00
8.799999999999999489e-02,1.447356669330949863e+00
8.999999999999999667e-02,1.449219516517638473e+00
9.199999999999999845e-02,1.450064537200438597e+00
9.400000000000000022e-02,1.449899183285840110e+00
9.600000000000000200e-02,1.448723454773843677e+00
9.800000000000000377e-02,1.446537351664449300e+00
1.000000000000000056e-01,1.443340873957656312e+00
1.020000000000000073e-01,1.439143478560573008e+00
1.040000000000000091e-01,1.433945376648727121e+00
1.059999999999999970e-01,1.427746568222118206e+00
1.079999999999999988e-01,1.420547053280746930e+00
1.100000000000000006e-01,1.412346831824612847e+00
1.120000000000000023e-01,1.403147676332936911e+00
1.140000000000000041e-01,1.392947065112929428e+00
1.160000000000000059e-01,1.381744998164589733e+00
1.180000000000000077e-01,1.369541475487917825e+00
1.199999999999999956e-01,1.356336497082913928e+00
1.219999999999999973e-01,1.342128619051250027e+00
1.239999999999999991e-01,1.326915074760154800e+00
1.260000000000000009e-01,1.310695864209628470e+00
1.280000000000000027e-01,1.293470987399670591e+00
1.300000000000000044e-01,1.275240444330281608e+00
1.320000000000000062e-01,1.256002095341947733e+00
1.340000000000000080e-01,1.235753964141606875e+00
1.360000000000000098e-01,1.214496050729258592e+00
1.380000000000000115e-01,1.192228355104903326e+00
1.400000000000000133e-01,1.168950877268540633e+00
1.420000000000000151e-01,1.144661918504218834e+00
1.440000000000000169e-01,1.119360544689952830e+00
1.459999999999999909e-01,1.093046755825743288e+00
1.479999999999999927e-01,1.065720551911589320e+00
1.499999999999999944e-01,1.037381932947491148e+00
1.519999999999999962e-01,1.008030012860415159e+00
1.539999999999999980e-01,9.776648041200213246e-01
1.559999999999999998e-01,9.462863067263094230e-01
1.580000000000000016e-01,9.138945206792794540e-01
1.600000000000000033e-01,8.804894459789314176e-01
1.620000000000000051e-01,8.460710070537111882e-01
1.640000000000000069e-01,8.106399092287435160e-01
1.660000000000000087e-01,7.741961525040285119e-01
1.680000000000000104e-01,7.367397368795661761e-01
1.700000000000000122e-01,6.982706623553562864e-01
1.720000000000000140e-01,6.587894696805280947e-01
1.740000000000000158e-01,6.182972127629337011e-01
1.759999999999999898e-01,5.767938916025737717e-01
1.779999999999999916e-01,5.342795061994473071e-01
1.799999999999999933e-01,4.907540565535546961e-01
1.819999999999999951e-01,4.462183932781459417e-01
1.839999999999999969e-01,4.006735189230036243e-01
1.859999999999999987e-01,3.541194334881277439e-01
1.880000000000000004e-01,3.065561369735183006e-01
1.900000000000000022e-01,2.579836293791751833e-01
1.920000000000000040e-01,2.084027027057006598e-01
1.940000000000000058e-01,1.578138764310459408e-01
1.960000000000000075e-01,1.062171505552109152e-01
1.980000000000000093e-01,5.361252507819556923e-02
2.000000000000000111e-01,-5.526265751411539266e-18
