y (m), ux (m/s)
0.000000000000000000e+00,-1.294154606059664234e-17
1.005025125628140805e-03,3.977607532404437568e-02
2.010050251256281610e-03,7.877808449243155209e-02
3.015075376884422415e-03,1.170060275051614529e-01
4.020100502512563220e-03,1.544599043622340018e-01
5.025125628140704459e-03,1.911397150636494069e-01
6.030150753768844830e-03,2.270454596094074184e-01
7.035175879396985202e-03,2.621771379995083140e-01
8.040201005025126441e-03,2.965347502339517050e-01
9.045226130653267679e-03,3.301293809885753050e-01
1.005025125628140892e-02,3.630126809538815058e-01
1.105527638190954842e-02,3.951900175007641014e-01
1.206030150753768966e-02,4.266613906292235914e-01
1.306532663316583090e-02,4.574268003392596982e-01
1.407035175879397040e-02,4.874862466308721998e-01
1.507537688442211164e-02,5.168397295040614292e-01
1.608040201005025288e-02,5.454872489588272755e-01
1.708542713567839239e-02,5.734307093216438611e-01
1.809045226130653536e-02,6.007187571050628394e-01
1.909547738693467486e-02,6.273684435151816174e-01
2.010050251256281784e-02,6.533797685520003062e-01
2.110552763819095734e-02,6.787527322155187948e-01
2.211055276381909684e-02,7.034873345057369720e-01
2.311557788944723982e-02,7.275835754226551710e-01
2.412060301507537932e-02,7.510414549662727257e-01
2.512562814070351883e-02,7.738601198748514820e-01
2.613065326633166180e-02,7.960719482701287264e-01
2.713567839195980130e-02,8.177120778559654468e-01
2.814070351758794081e-02,8.387805086323626425e-01
2.914572864321608378e-02,8.592772405993199802e-01
3.015075376884422328e-02,8.792022737568374602e-01
3.115577889447236626e-02,8.985556081049151933e-01
3.216080402010050576e-02,9.173372436435528465e-01
3.316582914572864527e-02,9.355471803727507529e-01
3.417085427135678477e-02,9.532007338791810280e-01
3.517587939698493121e-02,9.703494892387052317e-01
3.618090452261307072e-02,9.869961867471893635e-01
3.718592964824121022e-02,1.003140826404633090e+00
3.819095477386934973e-02,1.018783408211036301e+00
3.919597989949748923e-02,1.033923932166399329e+00
4.020100502512563567e-02,1.048562398270722396e+00
4.120603015075377518e-02,1.062698806524005057e+00
4.221105527638191468e-02,1.076332999540002611e+00
4.321608040201005418e-02,1.089513194582728994e+00
4.422110552763819369e-02,1.102253852488893848e+00
4.522613065326633319e-02,1.114554973258498061e+00
4.623115577889447964e-02,1.126416556891541854e+00
4.723618090452261914e-02,1.137838603388024117e+00
4.824120603015075864e-02,1.148821112747945739e+00
4.924623115577889815e-02,1.159364084971306719e+00
5.025125628140703765e-02,1.169468427099815910e+00
5.125628140703518409e-02,1.179185222424808499e+00
5.226130653266332360e-02,1.188541311345908902e+00
5.326633165829146310e-02,1.197536693863116453e+00
5.427135678391960261e-02,1.206171369976432040e+00
5.527638190954774211e-02,1.214445339685855441e+00
5.628140703517588161e-02,1.222358602991385990e+00
5.728643216080402806e-02,1.229911159893024575e+00
5.829145728643216756e-02,1.237103010390770530e+00
5.929648241206030707e-02,1.243914141481288871e+00
6.030150753768844657e-02,1.250408531659586098e+00
6.130653266331658607e-02,1.256588005005652153e+00
6.231155778894473252e-02,1.262452561519487038e+00
6.331658291457287202e-02,1.268002201201090529e+00
6.432160804020101152e-02,1.273236924050462626e+00
6.532663316582915103e-02,1.278156730067603553e+00
6.633165829145729053e-02,1.282761619252512864e+00
6.733668341708543004e-02,1.287094149763704065e+00
6.834170854271356954e-02,1.291220938401539620e+00
6.934673366834170904e-02,1.295138285262686262e+00
7.035175879396986243e-02,1.298846190347144658e+00
7.135678391959800193e-02,1.302344653654914364e+00
7.236180904522614143e-02,1.305633675185996045e+00
7.336683417085428094e-02,1.308713254940388371e+00
7.437185929648242044e-02,1.311583392918092894e+00
7.537688442211055995e-02,1.314193550455768245e+00
7.638190954773869945e-02,1.316525445209810075e+00
7.738693467336683895e-02,1.318670312876069728e+00
7.839195979899497846e-02,1.320628153454548315e+00
7.939698492462311796e-02,1.322398966945244281e+00
8.040201005025127134e-02,1.323982753348158514e+00
8.140703517587941085e-02,1.325379512663291459e+00
8.241206030150755035e-02,1.326589244890641117e+00
8.341708542713568986e-02,1.327618810871286525e+00
8.442211055276382936e-02,1.328595941914325618e+00
8.542713567839196886e-02,1.329495195835735721e+00
8.643216080402010837e-02,1.330316572635518391e+00
8.743718592964824787e-02,1.331060072313672515e+00
8.844221105527638738e-02,1.331725694870198318e+00
8.944723618090452688e-02,1.332313440305095797e+00
9.045226130653266639e-02,1.332823308618365177e+00
9.145728643216081977e-02,1.333255299810005567e+00
9.246231155778895927e-02,1.333485694785835562e+00
9.346733668341709877e-02,1.333649946453935309e+00
9.447236180904523828e-02,1.333785762641629624e+00
9.547738693467337778e-02,1.333893143348918064e+00
9.648241206030151729e-02,1.333972088575800852e+00
9.748743718592965679e-02,1.334022598322277764e+00
9.849246231155779630e-02,1.334044672588349023e+00
9.949748743718593580e-02,1.334038311374014629e+00
1.005025125628140753e-01,1.334042068638108924e+00
1.015075376884422148e-01,1.334050777288132039e+00
1.025125628140703682e-01,1.334024161001083453e+00
1.035175879396985077e-01,1.333962219776963609e+00
1.045226130653266472e-01,1.333864953615772064e+00
1.055276381909547867e-01,1.333732362517509262e+00
1.065326633165829262e-01,1.333564446482174981e+00
1.075376884422110657e-01,1.333361205509768777e+00
1.085427135678392052e-01,1.333029927017453042e+00
1.095477386934673447e-01,1.332313177391321268e+00
1.105527638190954842e-01,1.331564680678669399e+00
1.115577889447236237e-01,1.330784436879497212e+00
1.125628140703517632e-01,1.329972445993805374e+00
1.135678391959799166e-01,1.329128708021593663e+00
1.145728643216080561e-01,1.328253222962861635e+00
1.155778894472361956e-01,1.327345990817610177e+00
1.165829145728643351e-01,1.326407011585838180e+00
1.175879396984924746e-01,1.325531411212488297e+00
1.185929648241206141e-01,1.324458140216181468e+00
1.195979899497487536e-01,1.323170960725063683e+00
1.206030150753768931e-01,1.321669872739134055e+00
1.216080402010050326e-01,1.319954876258392362e+00
