y (m), ux (m/s)
0.000000000000000000e+00,-6.629863839983110158e-18
1.666666666666666774e-03,6.483419987647492944e-02
3.333333333333333547e-03,1.275617483344071434e-01
5.000000000000000104e-03,1.881826453737965588e-01
6.666666666666667095e-03,2.466968909946432587e-01
8.333333333333333218e-03,3.031044851969471043e-01
1.000000000000000021e-02,3.574941600938786879e-01
1.166666666666666720e-02,4.099605438171157190e-01
1.333333333333333419e-02,4.605036363666583643e-01
1.500000000000000118e-02,5.091234377425066793e-01
1.666666666666666644e-02,5.558199479446601643e-01
1.833333333333333343e-02,6.006814547312513408e-01
2.000000000000000042e-02,6.438029670072973332e-01
2.166666666666666741e-02,6.851844847727982524e-01
2.333333333333333440e-02,7.248260080277539874e-01
2.500000000000000139e-02,7.627275367721647603e-01
2.666666666666666838e-02,7.989769855317319092e-01
2.833333333333333537e-02,8.336697487625978065e-01
3.000000000000000236e-02,8.668058264647622302e-01
3.166666666666666935e-02,8.983852186382255134e-01
3.333333333333333287e-02,9.284079252829868789e-01
3.500000000000000333e-02,9.569613973690265230e-01
3.666666666666666685e-02,9.841415135575729556e-01
3.833333333333333731e-02,1.009948273848626732e+00
4.000000000000000083e-02,1.034381678242187297e+00
4.166666666666667129e-02,1.057441726738254761e+00
4.333333333333333481e-02,1.079215273813453280e+00
4.500000000000000527e-02,1.099798826725908452e+00
4.666666666666666879e-02,1.119192385475620943e+00
4.833333333333333925e-02,1.137395950062590089e+00
5.000000000000000278e-02,1.154409520486816332e+00
5.166666666666667324e-02,1.170319153593559758e+00
5.333333333333333676e-02,1.185222205987312538e+00
5.500000000000000028e-02,1.199118677668074229e+00
5.666666666666667074e-02,1.212008568635845052e+00
5.833333333333333426e-02,1.223891878890624785e+00
6.000000000000000472e-02,1.234853541003098076e+00
6.166666666666666824e-02,1.244992124895373031e+00
6.333333333333333870e-02,1.254307630567448983e+00
6.500000000000000222e-02,1.262800058019326377e+00
6.666666666666666574e-02,1.270469407251005212e+00
6.833333333333334314e-02,1.277398897807233258e+00
7.000000000000000666e-02,1.283688985077493072e+00
7.166666666666667018e-02,1.289339669061785321e+00
7.333333333333333370e-02,1.294350949760109337e+00
7.500000000000001110e-02,1.298722827172466010e+00
7.666666666666667462e-02,1.302535541969987332e+00
7.833333333333333814e-02,1.305892947087440525e+00
8.000000000000000167e-02,1.308795042524825814e+00
8.166666666666666519e-02,1.311241828282143196e+00
8.333333333333334259e-02,1.313233304359392672e+00
8.500000000000000611e-02,1.314842906237083220e+00
8.666666666666666963e-02,1.316182813911231486e+00
8.833333333333333315e-02,1.317253027381836361e+00
9.000000000000001055e-02,1.318053546648898289e+00
9.166666666666667407e-02,1.318584371712417269e+00
9.333333333333333759e-02,1.318897767486288286e+00
9.500000000000000111e-02,1.319130038441751918e+00
9.666666666666667851e-02,1.319281184578807720e+00
9.833333333333334203e-02,1.319351205897456136e+00
1.000000000000000056e-01,1.319340102397696946e+00
