y,ux
0.000000000000000000e+00,-5.962919881850550715e-18
2.000000000000000042e-03,5.758169768157750390e-02
4.000000000000000083e-03,1.140281957773960908e-01
6.000000000000000125e-03,1.693394942874559272e-01
8.000000000000000167e-03,2.235155932117569300e-01
1.000000000000000021e-02,2.765564925502991267e-01
1.200000000000000025e-02,3.284593375797121850e-01
1.400000000000000029e-02,3.792230418421581040e-01
1.600000000000000033e-02,4.288476053376365504e-01
1.800000000000000211e-02,4.773330280661478575e-01
2.000000000000000042e-02,5.246793100276914146e-01
2.199999999999999872e-02,5.708841485490174783e-01
2.400000000000000050e-02,6.159494333339775585e-01
2.600000000000000228e-02,6.598751643825715441e-01
2.800000000000000058e-02,7.026613416947995461e-01
2.999999999999999889e-02,7.443079652706610094e-01
3.200000000000000067e-02,7.848154583103805759e-01
3.400000000000000244e-02,8.241873767911265247e-01
3.600000000000000422e-02,8.624237207128990779e-01
3.799999999999999906e-02,8.995244900756979023e-01
4.000000000000000083e-02,9.354896848795233311e-01
4.200000000000000261e-02,9.703221292115915553e-01
4.399999999999999745e-02,1.004024266703858359e+00
4.599999999999999922e-02,1.036596097356324186e+00
4.800000000000000100e-02,1.068037621168988149e+00
5.000000000000000278e-02,1.098348838141851136e+00
5.200000000000000455e-02,1.127532686398322603e+00
5.399999999999999939e-02,1.155587809963994017e+00
5.600000000000000117e-02,1.182514208838866265e+00
5.800000000000000294e-02,1.208311883022938460e+00
5.999999999999999778e-02,1.232980832516211267e+00
6.199999999999999956e-02,1.256521220863149768e+00
6.400000000000000133e-02,1.278926876926606893e+00
6.600000000000000311e-02,1.300197800706581974e+00
6.800000000000000488e-02,1.320333992203075901e+00
7.000000000000000666e-02,1.339335451416087786e+00
7.200000000000000844e-02,1.357197807116884869e+00
7.399999999999999634e-02,1.373911336413298656e+00
7.599999999999999811e-02,1.389476039305329591e+00
7.799999999999999989e-02,1.403891915792977230e+00
8.000000000000000167e-02,1.417158965876241794e+00
8.200000000000000344e-02,1.429268745626560921e+00
8.400000000000000522e-02,1.440210629882372695e+00
8.600000000000000699e-02,1.449984618643676892e+00
8.799999999999999489e-02,1.458590711910473070e+00
8.999999999999999667e-02,1.466028909682761894e+00
9.199999999999999845e-02,1.472288974953351204e+00
9.400000000000000022e-02,1.477361707482707898e+00
9.600000000000000200e-02,1.481247107270831975e+00
9.800000000000000377e-02,1.483945174317723881e+00
1.000000000000000056e-01,1.485455908623382948e+00
1.020000000000000073e-01,1.485769783686342826e+00
1.040000000000000091e-01,1.484879946105301052e+00
1.059999999999999970e-01,1.482786395880257846e+00
1.079999999999999988e-01,1.479489133011212765e+00
1.100000000000000006e-01,1.474988157498165808e+00
1.120000000000000023e-01,1.469276013169018125e+00
1.140000000000000041e-01,1.462347921664203021e+00
1.160000000000000059e-01,1.454203882983721163e+00
1.180000000000000077e-01,1.444843897127572552e+00
1.199999999999999956e-01,1.434267964095757186e+00
1.219999999999999973e-01,1.422470767451046836e+00
1.239999999999999991e-01,1.409448965243882856e+00
1.260000000000000009e-01,1.395202557474265692e+00
1.280000000000000027e-01,1.379731544142195343e+00
1.300000000000000044e-01,1.363035925247671587e+00
1.320000000000000062e-01,1.345111994637341102e+00
1.340000000000000080e-01,1.325957371672246143e+00
1.360000000000000098e-01,1.305572056352387378e+00
1.380000000000000115e-01,1.283956048677764361e+00
1.400000000000000133e-01,1.261109348648377093e+00
1.420000000000000151e-01,1.237029347038553384e+00
1.440000000000000169e-01,1.211714371848748417e+00
1.459999999999999909e-01,1.185164423078962859e+00
1.479999999999999927e-01,1.157379500729195376e+00
1.499999999999999944e-01,1.128359604799447302e+00
1.519999999999999962e-01,1.098102908939178501e+00
1.539999999999999980e-01,1.066608301580388440e+00
1.559999999999999998e-01,1.033875782723076675e+00
1.580000000000000016e-01,9.999053523672427612e-01
1.600000000000000033e-01,9.646970105128870321e-01
1.620000000000000051e-01,9.282495360849727373e-01
1.640000000000000069e-01,8.905622440182586752e-01
1.660000000000000087e-01,8.516351343127445128e-01
1.680000000000000104e-01,8.114682069684304722e-01
1.700000000000000122e-01,7.700614619853161091e-01
1.720000000000000140e-01,7.274141508865030747e-01
1.740000000000000158e-01,6.835258557382439815e-01
1.759999999999999898e-01,6.383965765405399395e-01
1.779999999999999916e-01,5.920263132933896166e-01
1.799999999999999933e-01,5.444150659967933459e-01
1.819999999999999951e-01,4.955624170190899846e-01
1.839999999999999969e-01,4.454680111221452354e-01
1.859999999999999987e-01,3.941318483059593203e-01
1.880000000000000004e-01,3.415539285705321837e-01
1.900000000000000022e-01,2.877342519158637701e-01
1.920000000000000040e-01,2.326725510395982743e-01
1.940000000000000058e-01,1.763682754098791494e-01
1.960000000000000075e-01,1.188214250267064093e-01
1.980000000000000093e-01,6.003199989007999837e-02
2.000000000000000111e-01,-6.170836610724009203e-18
