y, u_normal, u_tangential
0.000000000000000000e+00,-2.354641691856952715e-17,3.334028356919190910e-18
1.005025125628140805e-03,6.997417047502978160e-02,1.565969492189227480e-03
2.010050251256281610e-03,1.113703729938469444e-01,2.306731027329712077e-03
3.015075376884422415e-03,1.241886075564514608e-01,2.222284605421452706e-03
4.020100502512563220e-03,1.084288741628433306e-01,1.312630226464446982e-03
5.025125628140704459e-03,6.668779529442248055e-02,-4.357931440047811559e-04
6.030150753768844830e-03,1.031397683243440028e-01,-2.558869923538375623e-03
7.035175879396985202e-03,1.217508330662698396e-01,-3.596062187808191004e-03
8.040201005025126441e-03,1.225209895202000049e-01,-3.547369936814229793e-03
9.045226130653267679e-03,1.054502376861344293e-01,-2.412793170556492423e-03
1.005025125628140892e-02,7.481835279173458531e-02,-2.178569763885634209e-04
1.105527638190954842e-02,1.078635297114658442e-01,1.540804991776703083e-03
1.206030150753768966e-02,1.234530188699852205e-01,2.409766557971038982e-03
1.306532663316583090e-02,1.215868202672926446e-01,2.389027722194439832e-03
1.407035175879397040e-02,1.022649339033881860e-01,1.478588484446909318e-03
1.507537688442211164e-02,7.212503930637069460e-02,-3.190624074413876514e-04
1.608040201005025288e-02,1.063693689301046796e-01,-2.022764619902485059e-03
1.708542713567839239e-02,1.231118671685771659e-01,-2.843228583495257047e-03
1.809045226130653536e-02,1.223525340217881813e-01,-2.780454298219705786e-03
1.909547738693467486e-02,1.040913694897377534e-01,-1.834441764075837129e-03
2.010050251256281784e-02,7.688799336883864188e-02,-5.466843322749189772e-05
2.110552763819095734e-02,1.092343578460809456e-01,1.294199806956033679e-03
2.211055276381909684e-02,1.241061524211327233e-01,1.946585804992611007e-03
2.311557788944723982e-02,1.215033770939938640e-01,1.902489560882236102e-03
2.412060301507537932e-02,1.014260318646644093e-01,1.161911074624908530e-03
2.512562814070351883e-02,7.490747427785368617e-02,-2.506220230198240436e-04
2.613065326633166180e-02,1.081125096796913820e-01,-1.443887856477326162e-03
2.713567839195980130e-02,1.237801486511137389e-01,-2.010869548050826707e-03
2.814070351758794081e-02,1.219103911921209371e-01,-1.951567097740332293e-03
2.914572864321608378e-02,1.025032373027128380e-01,-1.265980505545840967e-03
3.015075376884422328e-02,7.848756703102355292e-02,-2.872011501406260096e-05
3.115577889447236626e-02,1.102254714592247054e-01,8.032268730186294852e-04
3.216080402010050576e-02,1.244734881947688471e-01,1.202665659251142072e-03
3.316582914572864527e-02,1.212316172376562140e-01,1.169596243683481990e-03
3.417085427135678477e-02,1.004998585878867645e-01,7.040186263156486979e-04
3.517587939698493121e-02,7.765096166920470999e-02,-1.469706055203014183e-04
3.618090452261307072e-02,1.097449406747543071e-01,-7.648246731888416880e-04
3.718592964824121022e-02,1.242830415523058091e-01,-1.060094862459384649e-03
3.819095477386934973e-02,1.212652643018592713e-01,-1.032781173331930816e-03
3.919597989949748923e-02,1.006916089234146383e-01,-6.828836058064796481e-04
4.020100502512563567e-02,7.992315446702305537e-02,-1.029958672746158241e-04
4.120603015075377518e-02,1.110777044889189324e-01,1.602820243281638675e-04
4.221105527638191468e-02,1.247339870596225753e-01,2.981123013943953975e-04
4.321608040201005418e-02,1.208920021791339561e-01,3.104949639240781154e-04
4.422110552763819369e-02,9.955174984745306099e-02,1.974300119172121566e-04
4.522613065326633319e-02,8.036076600544603266e-02,1.822570142160639408e-05
4.623115577889447964e-02,1.113051077100955938e-01,-8.359943500657006219e-06
4.723618090452261914e-02,1.246838300930412369e-01,-3.993232613279077304e-05
4.824120603015075864e-02,1.204969331542832672e-01,-7.649144647479540443e-05
4.924623115577889815e-02,9.874441689382168486e-02,-1.180373045266711681e-04
5.025125628140703765e-02,8.128282488726196187e-02,-2.584693479154547956e-04
5.125628140703518409e-02,1.118629850481662330e-01,-5.601689418748127293e-04
5.226130653266332360e-02,1.249379111071280135e-01,-6.661872255113714548e-04
5.326633165829146310e-02,1.205076030641475948e-01,-5.765241988251363931e-04
5.427135678391960261e-02,9.857206091922497693e-02,-2.911798618161062432e-04
5.527638190954774211e-02,8.299389987857842821e-02,2.417409929692931881e-04
5.628140703517588161e-02,1.127800234835117099e-01,7.722747058570662501e-04
